City,Date,PM 2.5 Value
Alexandria,4/27/2015,6.8
Alexandria,4/30/2015,8.3
Alexandria,5/3/2015,12.5
Alexandria,5/6/2015,5.1
Alexandria,5/9/2015,6.5
Alexandria,5/12/2015,5.6
Alexandria,5/15/2015,6
Alexandria,5/18/2015,2.5
Alexandria,5/21/2015,5
Alexandria,5/24/2015,6
Alexandria,5/27/2015,3.4
Alexandria,5/30/2015,4.2
Alexandria,6/2/2015,5.4
Alexandria,6/5/2015,9.3
Alexandria,6/8/2015,14.7
Alexandria,6/11/2015,3.7
Alexandria,6/14/2015,2.3
Alexandria,6/17/2015,10.3
Alexandria,6/20/2015,9.1
Alexandria,6/23/2015,8.6
Alexandria,6/26/2015,6.4
Alexandria,6/29/2015,10.4
Alexandria,7/2/2015,12
Alexandria,7/5/2015,5.2
Alexandria,7/8/2015,12.2
Alexandria,7/11/2015,8.2
Alexandria,7/14/2015,7.5
Alexandria,7/17/2015,8
Alexandria,7/20/2015,10
Alexandria,7/23/2015,9.4
Alexandria,7/26/2015,8.3
Alexandria,7/29/2015,11.2
Alexandria,8/1/2015,7.2
Alexandria,8/4/2015,16.2
Alexandria,8/7/2015,8.1
Alexandria,8/10/2015,10.7
Alexandria,8/13/2015,10.9
Alexandria,8/16/2015,4.6
Alexandria,8/19/2015,2.5
Alexandria,8/22/2015,4
Alexandria,8/25/2015,7.7
Alexandria,8/28/2015,18.7
Alexandria,8/31/2015,11.5
Alexandria,9/3/2015,5.3
Alexandria,9/6/2015,7.8
Alexandria,9/12/2015,5.2
Alexandria,9/15/2015,7.6
Alexandria,9/18/2015,10.4
Alexandria,9/21/2015,9.2
Alexandria,9/24/2015,8.2
Alexandria,9/27/2015,12.6
Alexandria,9/30/2015,7.8
Alexandria,10/3/2015,7.8
Alexandria,10/6/2015,15
Alexandria,10/9/2015,14.3
Alexandria,10/12/2015,9.4
Alexandria,10/15/2015,9.4
Alexandria,10/18/2015,7.5
Alexandria,10/23/2015,4.3
Alexandria,10/24/2015,4.9
Alexandria,10/27/2015,5
Alexandria,10/30/2015,12.7
Alexandria,11/2/2015,1.9
Alexandria,11/5/2015,6.4
Alexandria,11/8/2015,4.7
Alexandria,11/11/2015,4.9
Alexandria,11/17/2015,2.7
Alexandria,11/18/2015,3.4
Alexandria,11/20/2015,4.4
Alexandria,11/23/2015,3.3
Alexandria,12/1/2015,3
Alexandria,12/2/2015,5
Alexandria,12/3/2015,3.2
Alexandria,12/19/2015,5
Alexandria,12/22/2015,6.1
Alexandria,12/24/2015,11.7
Alexandria,12/25/2015,6
Alexandria,12/26/2015,7.9
Alexandria,12/29/2015,4.1
Alexandria,1/1/2016,5.4
Alexandria,1/3/2016,6.4
Alexandria,1/4/2016,12.7
Alexandria,1/13/2016,8.5
Alexandria,1/16/2016,6.3
Alexandria,1/19/2016,5.8
Alexandria,1/22/2016,6.5
Alexandria,1/25/2016,5.7
Alexandria,1/28/2016,4.7
Alexandria,1/31/2016,8.7
Alexandria,2/1/2016,9
Alexandria,2/3/2016,4.8
Alexandria,2/6/2016,7.2
Alexandria,2/11/2016,4.9
Alexandria,2/12/2016,11.4
Alexandria,2/15/2016,3.4
Alexandria,2/19/2016,5.5
Alexandria,2/21/2016,8.2
Alexandria,2/27/2016,11.3
Alexandria,3/1/2016,5.4
Alexandria,3/4/2016,8.6
Alexandria,3/8/2016,8.2
Alexandria,3/10/2016,2.6
Alexandria,3/13/2016,9
Alexandria,3/18/2016,10.4
Alexandria,3/19/2016,7.1
Alexandria,3/22/2016,5.2
Alexandria,3/25/2016,9.6
Alexandria,3/28/2016,5.4
Alexandria,3/31/2016,16.8
Alexandria,4/3/2016,6
Alexandria,4/6/2016,8.7
Alexandria,4/9/2016,6.4
Alexandria,4/12/2016,3.2
Alexandria,4/15/2016,6.7
Alexandria,4/18/2016,9.3
Alexandria,4/21/2016,3.7
Alexandria,4/24/2016,6.8
Alexandria,4/27/2016,7.8
Alexandria,4/30/2016,8.2
Alexandria,5/6/2016,3.7
Alexandria,5/9/2016,7.7
Alexandria,5/12/2016,9.2
Alexandria,5/15/2016,6.2
Alexandria,5/21/2016,11.3
Alexandria,5/24/2016,8.2
Alexandria,5/27/2016,6
Alexandria,6/3/2016,4.6
Alexandria,6/4/2016,5
Alexandria,6/5/2016,4.7
Alexandria,6/8/2016,8.8
Alexandria,6/11/2016,5
Alexandria,6/14/2016,11.2
Alexandria,6/17/2016,11.6
Alexandria,6/20/2016,8.8
Alexandria,6/23/2016,6.6
Alexandria,6/28/2016,8.4
Alexandria,6/29/2016,5.7
Alexandria,7/2/2016,10.2
Alexandria,7/5/2016,10.2
Alexandria,7/8/2016,13.5
Alexandria,7/12/2016,8
Alexandria,7/14/2016,8.1
Alexandria,7/17/2016,9.2
Alexandria,7/20/2016,7.8
Alexandria,7/23/2016,10.9
Alexandria,7/26/2016,3.8
Alexandria,7/29/2016,6.5
Alexandria,8/1/2016,17.2
Alexandria,8/5/2016,9.7
Alexandria,8/7/2016,10.5
Alexandria,8/10/2016,12.4
Alexandria,8/13/2016,3.8
Alexandria,8/19/2016,3.7
Alexandria,8/20/2016,8.7
Alexandria,8/22/2016,3.8
Alexandria,8/25/2016,8
Alexandria,8/28/2016,5.4
Alexandria,8/31/2016,11.9
Alexandria,9/3/2016,10.1
Alexandria,9/7/2016,7.8
Alexandria,9/9/2016,6.3
Alexandria,9/12/2016,5.2
Alexandria,9/15/2016,7.1
Alexandria,9/20/2016,10.1
Alexandria,9/21/2016,11.9
Alexandria,9/24/2016,8.3
Alexandria,9/27/2016,9.9
Alexandria,9/30/2016,10.4
Alexandria,10/3/2016,12.2
Alexandria,10/6/2016,9.3
Alexandria,10/9/2016,9.5
Alexandria,10/12/2016,8.2
Alexandria,10/15/2016,10.6
Alexandria,10/18/2016,5.2
Alexandria,10/21/2016,5.2
Alexandria,10/24/2016,9.9
Alexandria,10/27/2016,9.7
Alexandria,11/17/2016,11.5
Alexandria,11/20/2016,4.1
Alexandria,11/23/2016,4.9
Alexandria,11/26/2016,11.7
Alexandria,1/4/2017,6.4
Alexandria,1/7/2017,5.1
Alexandria,1/10/2017,4.1
Alexandria,1/13/2017,5.7
Alexandria,1/16/2017,5.8
Alexandria,1/19/2017,3.4
Alexandria,1/22/2017,4.6
Alexandria,1/25/2017,5.1
Alexandria,1/28/2017,6.3
Alexandria,1/31/2017,5.1
Alexandria,2/3/2017,5.8
Alexandria,2/6/2017,8.2
Alexandria,2/9/2017,6.5
Alexandria,2/12/2017,11.3
Alexandria,2/15/2017,4.2
Alexandria,2/18/2017,6.8
Alexandria,2/21/2017,4.3
Alexandria,3/11/2017,6.7
Alexandria,3/14/2017,4.5
Alexandria,3/17/2017,7
Alexandria,3/20/2017,10.5
Alexandria,3/23/2017,9.3
Alexandria,3/26/2017,15.7
Alexandria,3/29/2017,9.3
Alexandria,4/4/2017,4.7
Alexandria,4/7/2017,5.7
Alexandria,4/10/2017,9.6
Alexandria,4/13/2017,13
Alexandria,4/16/2017,10.2
Alexandria,4/19/2017,10.9
Alexandria,4/22/2017,6.7
Alexandria,5/5/2017,5.4
Alexandria,5/6/2017,6
Alexandria,5/7/2017,10.2
Alexandria,5/10/2017,7.9
Alexandria,5/13/2017,6
Alexandria,5/16/2017,8
Alexandria,5/19/2017,8.7
Alexandria,5/22/2017,3.8
Alexandria,5/25/2017,5.8
Alexandria,5/28/2017,9.2
Alexandria,5/31/2017,10.8
Alexandria,6/3/2017,5.2
Alexandria,6/6/2017,4.3
Alexandria,6/9/2017,9.2
Alexandria,6/14/2017,6.4
Alexandria,6/15/2017,8.2
Alexandria,6/18/2017,6.3
Alexandria,6/21/2017,2.5
Alexandria,6/24/2017,4.3
Alexandria,6/27/2017,11.2
Alexandria,6/30/2017,18.7
Alexandria,7/4/2017,7.4
Alexandria,7/6/2017,6.3
Alexandria,7/9/2017,7.2
Alexandria,7/12/2017,4
Alexandria,7/18/2017,6.5
Alexandria,7/21/2017,13.1
Alexandria,7/24/2017,10.7
Alexandria,7/27/2017,8
Alexandria,7/30/2017,8.8
Alexandria,8/2/2017,10.9
Alexandria,8/5/2017,9.5
Alexandria,8/8/2017,5.3
Alexandria,8/11/2017,7.7
Alexandria,8/14/2017,6
Alexandria,8/17/2017,13.5
Alexandria,8/20/2017,9
Alexandria,8/23/2017,8.5
Alexandria,8/26/2017,11.5
Alexandria,8/29/2017,9.5
Alexandria,9/1/2017,10
Alexandria,9/4/2017,10.6
Alexandria,9/7/2017,8.8
Alexandria,9/10/2017,9.2
Alexandria,9/13/2017,12.8
Alexandria,9/16/2017,9.4
Alexandria,9/19/2017,8.2
Alexandria,9/22/2017,10.8
Alexandria,9/25/2017,8.2
Alexandria,9/28/2017,15.6
Alexandria,9/29/2017,10.7
Alexandria,10/1/2017,11.7
Alexandria,10/4/2017,6.2
Alexandria,10/7/2017,6.5
Alexandria,10/10/2017,9.8
Alexandria,10/13/2017,10.8
Alexandria,11/3/2017,6.3
