City,Year,Month,Day,pm25
BATON ROUGE / CAPITOL 001,2011,6,24,87
BATON ROUGE / CAPITOL 001,2011,6,25,53
BATON ROUGE / CAPITOL 001,2011,6,26,71
BATON ROUGE / CAPITOL 001,2011,6,27,84
BATON ROUGE / CAPITOL 001,2011,6,28,104
BATON ROUGE / CAPITOL 001,2011,6,29,112
BATON ROUGE / CAPITOL 001,2011,6,30,124
BATON ROUGE / CAPITOL 001,2011,7,1,128
BATON ROUGE / CAPITOL 001,2011,7,2,143
BATON ROUGE / CAPITOL 001,2011,7,3,151
BATON ROUGE / CAPITOL 001,2011,7,4,177
BATON ROUGE / CAPITOL 001,2011,7,5,191
BATON ROUGE / CAPITOL 001,2011,7,6,166
BATON ROUGE / CAPITOL 001,2011,7,7,137
BATON ROUGE / CAPITOL 001,2011,7,8,67
BATON ROUGE / CAPITOL 001,2011,7,9,77
BATON ROUGE / CAPITOL 001,2011,7,10,97
BATON ROUGE / CAPITOL 001,2011,7,11,76
BATON ROUGE / CAPITOL 001,2011,7,12,70
BATON ROUGE / CAPITOL 001,2011,7,13,50
BATON ROUGE / CAPITOL 001,2011,7,14,77
BATON ROUGE / CAPITOL 001,2011,7,15,78
BATON ROUGE / CAPITOL 001,2011,7,16,79
BATON ROUGE / CAPITOL 001,2011,7,17,89
BATON ROUGE / CAPITOL 001,2011,7,18,68
BATON ROUGE / CAPITOL 001,2011,7,19,82
BATON ROUGE / CAPITOL 001,2011,7,20,105
BATON ROUGE / CAPITOL 001,2011,7,21,73
BATON ROUGE / CAPITOL 001,2011,7,22,76
BATON ROUGE / CAPITOL 001,2011,7,23,45
BATON ROUGE / CAPITOL 001,2011,7,24,60
BATON ROUGE / CAPITOL 001,2011,7,25,74
BATON ROUGE / CAPITOL 001,2011,7,26,62
BATON ROUGE / CAPITOL 001,2011,7,27,103
BATON ROUGE / CAPITOL 001,2011,7,28,56
BATON ROUGE / CAPITOL 001,2011,7,29,57
BATON ROUGE / CAPITOL 001,2011,7,30,66
BATON ROUGE / CAPITOL 001,2011,7,31,67
BATON ROUGE / CAPITOL 001,2011,8,1,94
BATON ROUGE / CAPITOL 001,2011,8,2,119
BATON ROUGE / CAPITOL 001,2011,8,3,89
BATON ROUGE / CAPITOL 001,2011,8,4,74
BATON ROUGE / CAPITOL 001,2011,8,5,94
BATON ROUGE / CAPITOL 001,2011,8,6,128
BATON ROUGE / CAPITOL 001,2011,8,7,78
BATON ROUGE / CAPITOL 001,2011,8,8,51
BATON ROUGE / CAPITOL 001,2011,8,9,89
BATON ROUGE / CAPITOL 001,2011,8,10,50
BATON ROUGE / CAPITOL 001,2011,8,11,131
BATON ROUGE / CAPITOL 001,2011,8,12,103
BATON ROUGE / CAPITOL 001,2011,8,13,66
BATON ROUGE / CAPITOL 001,2011,8,14,82
BATON ROUGE / CAPITOL 001,2011,8,15,120
BATON ROUGE / CAPITOL 001,2011,8,16,77
BATON ROUGE / CAPITOL 001,2011,8,17,50
BATON ROUGE / CAPITOL 001,2011,8,18,134
BATON ROUGE / CAPITOL 001,2011,8,19,50
BATON ROUGE / CAPITOL 001,2011,8,20,142
BATON ROUGE / CAPITOL 001,2011,8,21,132
BATON ROUGE / CAPITOL 001,2011,8,22,230
BATON ROUGE / CAPITOL 001,2011,8,23,250
BATON ROUGE / CAPITOL 001,2011,8,24,196
BATON ROUGE / CAPITOL 001,2011,8,25,50
