Year,Parish,Rate,Count,Population
2014,Livingston,75.6,105,135241
2014,Madison,80.8,67.5,11826
2014,Morehouse,86,30,26654
2014,Natchitoches,50,22,39131
2014,Orleans,59.6,245,384228
2014,Ouachita,74.7,128,156383
2014,Plaquemines,70.4,75.5,23323
2014,Pointe coupee,66.1,23,22309
2014,Rapides,65.4,105,132229
2014,Red river,63.45,60.5,8758
2014,Richland,61.5,16,20763
2014,Sabine,65.3,23,24118
2014,St bernard,91,36,44451
2014,St charles,64.4,33,52690
2014,St helena,69,26,10527
2014,St james,73.6,19,21518
2014,St john the baptist,64.7,30,43712
2014,St landry,98.4,97,83720
2014,St martin,76.5,45,53309
2014,St mary,82.5,53,53302
2014,St tammany,67.3,193,245390
2014,Tangipahoa,60,82,127058
2014,Tensas,72,92,4852
2014,Terrebonne,84,102,113553
2014,Union,82.4,28,22560
2014,Vermilion,70.4,48,59539
2014,Vernon,76.3,34,52900
2014,Washington,48.2,31,46320
2014,Webster,79.7,43,40292
2014,West baton rouge,84.3,22,25229
2014,West carroll,102.2,16,11526
2014,West feliciana,78.6,163,15372
2014,Winn,78.6,163,14823
2015,Acadia,74.2,53,62696
2015,Allen,78.9,22,25630
2015,Ascension,55.7,65,119417
2015,Assumption,62.4,50.5,22902
2015,Avoyelles,69.1,36,40992
2015,Beauregard,57.3,25,36557
2015,Bienville,79.4,17,13828
2015,Bossier,73.6,100,125634
2015,Caddo,67.5,209,251499
2015,Calcasieu,71.4,166,198542
2015,Caldwell,78.6,163,10048
2015,Cameron,78.6,163,6821
2015,Catahoula,78.6,163,10034
2015,Claiborne,74.9,17,16271
2015,Concordia,69.9,20,20233
2015,De soto,72.4,27,27112
2015,Eastbatonrouge,48.3,226,445776
2015,East carroll,84.05,127,7279
2015,East feliciana,119.8,28,19534
2015,Evangeline,86.3,33,33728
2015,Franklin,86.45,27.5,20397
2015,Grant,86.6,22,22327
2015,Iberia,67.2,59,73548
2015,Iberville,83,33,33149
2015,Jackson,71.4,17,15971
2015,Jefferson,62.6,343,435358
2015,Jefferson davis,78.8,30,31449
2015,Lafayette,65.9,155,239654
